Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,1093.0,18.0,63.0,1093.0,0.1,54.00799999999998,0.0,0.0,99.08954882621765,,,,,,,,,,,,,,,,,,,,,24.001679726116752,17.06490094701221,52.60104366353806,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1133.0,19.0,40.0,1133.0,0.1,31.00800000000001,0.0,0.0,102.93716025352478,,,,,,,,,,,,,,,,,,,,,13.046788490215466,10.38485643130673,30.547192297794677,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1197.0,20.0,64.0,1197.0,0.1,53.00999999999998,0.0,0.0,109.05108594894409,,,,,,,,,,,,,,,,,,,,,22.791882676311744,17.017145258036756,51.65457700815536,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,100.0,1.0,100.0,1297.0,0.1,92.00700000000003,0.0,0.0,223.85408425331116,,,,,,,,,,,,,,,,,,,,,42.395988176256836,27.3024627602079,87.94319963845162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,139.0,2.0,39.0,1336.0,0.1,32.005999999999986,0.0,0.0,227.67439103126526,,,,,,,,,,,,,,,,,,,,,14.212237121032585,10.495701010440154,31.514720678916888,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,215.0,3.0,76.0,1412.0,0.1,68.00700000000003,0.0,0.0,234.63442063331604,,,,,,,,,,,,,,,,,,,,,31.061288693981176,20.81399494622104,65.77783194531612,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,254.0,4.0,39.0,1451.0,0.1,31.00700000000001,0.0,0.0,238.45261216163635,,,,,,,,,,,,,,,,,,,,,13.380315636393702,10.30218053540472,30.54622960315736,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,337.0,5.0,83.0,1534.0,0.1,53.02900000000001,0.0,0.0,246.2510986328125,,,,,,,,,,,,,,,,,,,,,23.363906770051685,14.105229068566436,51.19212880356404,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,369.0,6.0,32.0,1566.0,0.1,23.00800000000001,0.0,0.0,249.45494508743286,,,,,,,,,,,,,,,,,,,,,9.279295910416907,7.942418378612332,22.75655288007393,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,417.0,7.0,48.0,1614.0,0.1,38.00899999999998,0.0,0.0,253.9614224433899,,,,,,,,,,,,,,,,,,,,,16.033298147062826,12.55075091070487,37.313992359667964,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
